y,age,educ,female,exp,yl1,yl2,yl3,yp1,yp2,owage2,owage1
1.933524,39,9,0,24,1.898125,1.881995,2.021336,1.926914,2.093128,1.636500237,1.582629372
1.558212,44,12,1,26,1.722544,1.852617,1.981685,1.486992,1.478584,1.155321098,1.18628883
4.129326,51,16,0,29,3.920384,3.916056,3.792297,4.160464,4.152688,2.616417236,2.888109218
1.937738,41,12,0,23,1.796215,1.781698,1.745947,2.379538,2.356512,1.496573652,1.491266
4.00817,45,12,0,27,3.988724,3.993683,3.860589,4.030152,4.025734,2.939416845,2.861816945
1.443748,39,6,0,27,1.636895,1.470626,1.55506,1.469416,1.486338,1.555556902,1.553268562
1.585145,41,9,0,26,1.737511,1.460791,1.440587,1.565488,1.532925,1.555527039,1.476680928
1.995207,41,12,0,23,1.938527,1.870093,1.868102,1.969607,1.977607,1.906589897,1.950395262
1.119793,39,9,0,24,1.914493,1.883714,1.916214,1.11949,1.880021,1.088459886,1.745101743
1.411101,39,6,0,27,1.555511,1.578082,1.547951,1.869984,1.438919,1.465617538,1.446059611
1.500255,43,9,0,28,1.614042,1.673968,1.685979,1.519563,1.525051,1.437613995,1.936764817
1.730199,40,9,0,25,2.19624,2.203777,2.226477,1.669583,1.826784,1.33570601,1.92863352
2.64252,45,16,0,23,2.634876,2.634652,2.664277,2.660352,2.642766,1.99333387,2.029247523
1.852722,42,6,0,30,2.054502,1.975956,1.979292,2.0943,2.034366,2.096351,2.030155067
1.122894,40,6,1,28,1.080163,1.14511,1.112873,1.079564,1.122302,1.268121514,1.038325749
1.566491,46,12,1,28,1.302825,1.392109,1.414809,1.588859,1.824549,2.074470157,1.646452243
2.229053,46,12,0,28,2.379241,2.3753,2.122497,2.290194,2.311209,2.628293942,2.894246174
1.851553,39,12,0,21,1.774262,1.79419,1.839611,1.876879,1.854717,1.749070492,1.815468005
1.183317,45,12,1,27,1.572036,1.606298,1.571477,1.138926,1.119752,1.630001868,1.588736627
1.63395,42,12,0,24,1.462689,1.03475,1.05745,1.607202,2.14583,1.511468206,1.230118165
2.548612,44,12,1,26,2.53316,2.51351,2.500143,2.54818,2.555965,2.48918284,2.695106886
1.406731,42,12,1,24,1.316265,1.346865,1.291447,1.386781,1.389131,1.199539961,1.246069031
1.043679,38,6,1,26,1.281079,1.032789,1.104908,1.037013,1.042104,1.087859116,1.340242037
1.941224,40,12,0,22,2.042519,1.988101,2.020601,1.82449,1.714049,2.019854956,1.5838702
1.858241,40,6,0,28,2.009801,1.888863,1.904487,2.050132,2.035976,1.91618079,2.157856611
2.313794,44,12,1,26,2.312893,2.331631,2.331931,2.322902,2.333937,2.397936926,2.485669333
1.978814,43,12,0,25,1.702793,1.723126,1.747714,1.970407,2.037658,1.470901153,1.982999696
1.636595,40,9,0,25,2.08946,1.757832,1.926783,1.966808,1.551665,1.93021832,1.906881774
1.765488,44,12,1,26,1.884021,1.878413,1.864965,1.766304,1.754871,1.280383724,1.33973027
1.475005,41,6,0,29,1.23113,1.233338,1.256038,1.486397,1.522532,1.499004614,1.288374532
2.266277,42,12,0,24,2.214457,2.18937,2.184918,2.301169,2.289081,1.578058769,1.657571921
2.10462,40,9,0,25,2.109782,2.196314,2.113528,2.183432,2.186277,1.788897081,1.991555583
3.244973,43,16,1,21,2.926875,2.779408,2.777128,3.22175,3.227902,2.416487678,2.556471797
1.056671,42,6,1,30,1.073194,1.080163,1.104053,1.031071,1.140128,1.349541752,1.638246406
2.113084,45,12,1,27,2.292964,2.313036,2.334241,2.12607,2.142826,2.789359805,2.10563881
1.481285,37,6,0,25,1.521158,1.029538,1.057491,1.449214,1.424514,1.275166571,1.094704392
1.3964,41,9,1,26,1.810598,1.909135,1.462567,1.514117,1.531353,1.555566902,1.55259355
3.376399,45,12,0,27,3.11485,2.968159,2.974069,3.301583,3.228681,2.813621229,2.526601498
1.273491,37,9,0,22,1.563714,1.547964,1.560656,1.275888,1.573613,1.511385322,1.474706676
2.534737,44,12,1,26,2.358092,2.154471,2.173125,2.534407,2.641605,1.579943846,1.297530906
2.196211,45,12,0,27,2.511028,2.499839,2.47386,2.56095,2.629923,2.767555022,2.485419989
1.390682,43,12,1,25,1.355759,1.378459,1.416036,1.317915,1.322806,1.605889729,1.229513133
1.802709,41,6,0,29,1.62764,1.712952,1.587307,1.800661,1.988363,2.041515369,1.679448844
2.982436,42,16,1,20,2.714,2.618354,2.571993,2.95154,3.133018,1.809055623,2.186063225
3.015914,47,16,0,25,3.1745,3.170559,3.052736,3.095122,3.135504,2.623376061,2.891079388
3.027624,37,9,0,22,3.061454,2.8941,2.881304,2.947399,2.941445,2.316775709,1.827107452
1.539936,36,6,0,24,1.163321,1.332811,1.372384,1.436142,1.467011,1.288416294,1.31772997
1.668251,38,6,0,26,1.690951,1.714651,1.747151,1.636595,1.908341,1.538499889,1.529516304
3.268109,42,16,0,20,3.146173,3.41962,3.199118,3.294452,3.300962,2.379818833,2.290879218
2.188507,41,9,0,26,1.954622,1.955757,1.909323,2.353674,2.459647,2.404615626,1.530173813
1.915298,40,6,0,28,1.939998,1.948297,1.944546,1.889698,1.989536,1.82400325,1.696094842
1.537011,36,6,0,24,1.459684,1.429069,1.461569,1.573528,1.601275,1.435834807,1.445125604
